targeted,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Created at,2023-02-04 19:34:48,,,,,,,
Seek terms or hashtags,targeted,,,,,,,
Report created by,@medicalthreat,,,,,,,
TweetBinder key,14534f7a-f75d-4a35-bfcf-95414048a4cd,,,,,,,
,,,,,,,,
GENERAL STATISTICS,,,,,,,,
Total tweets,459859,,,,,,,
Original tweets,164904,35.86%,,,,,,
Retweets,294955,64.14%,,,,,,
Text tweets,22462,,,,,,,
Replies,69363,,,,,,,
Links & pictures,83406,,,,,,,
Impacts,36280082976,,,,,,,
Followers per contributor,17189.91,,,,,,,
Tweets per contributor,1.58,,,,,,,
Reach,5000098145,,,,,,,
Contributors,290874,,,,,,,
Economic value,62439252.90,EUR,,,,,,
Contributors value,9366585.26,EUR,,,,,,
Contributors value mean,32.20,EUR,,,,,,
Tweet value mean,135.78,EUR,,,,,,
Likes,29840020,,,,,,,
Likes per contributor,286.06,,,,,,,
Retweets,294955,,,,,,,
Retweets per contributor,2.83,,,,,,,
,,,,,,,,
,,,,,,,,
ACTIVITY,,,,,,,,
Hour,Contributors,Replies,Pics,Links,Originals,Retweets,Total tweets,Economic value
2022-02-04 00:01:00,1212,201,867,979,1530,0,1530,1087106.1
2022-02-16 04:43:36,1706,373,1228,1286,2294,0,2294,2921083.16
2022-02-28 09:26:12,1668,342,1336,1318,2253,0,2253,3034751.58
2022-03-12 14:08:48,1557,302,1240,1162,2099,0,2099,2226096.64
2022-03-24 18:51:24,1315,258,902,1044,1650,0,1650,2870240.35
2022-04-05 23:34:00,1501,268,1047,1213,1863,0,1863,1767702.69
2022-04-18 04:16:36,1546,268,1083,1156,1987,0,1987,2001330.27
2022-04-30 08:59:12,1412,283,916,962,1779,0,1779,1729592.48
2022-05-12 13:41:47,1608,244,830,1095,1977,0,1977,1860360.13
2022-05-24 18:24:23,1738,266,936,1200,2212,0,2212,2851309.33
2022-06-05 23:06:59,1630,295,1150,969,2030,0,2030,1361710.06
2022-06-18 03:49:35,1470,253,868,827,1787,0,1787,1781052.8800000001
2022-06-30 08:32:11,1227,238,752,794,1500,0,1500,1581824.96
2022-07-12 13:14:47,1396,275,1123,840,1746,0,1746,1399817.88
2022-07-24 17:57:23,1556,273,952,871,1889,0,1889,2079916.92
2022-08-05 22:39:59,1631,311,1327,1037,2167,0,2167,1934192.77
2022-08-18 03:22:35,1624,367,1105,1179,2123,0,2123,1772809.19
2022-08-30 08:05:11,1506,262,1054,1133,1985,0,1985,1731626.8900000001
2022-09-11 12:47:47,1726,305,1441,1207,2299,0,2299,1724909.7
2022-09-23 17:30:23,1822,302,1598,1273,2472,0,2472,2024838.43
2022-10-05 22:12:59,1671,283,1355,1116,2137,0,2137,2025858.26
2022-10-18 02:55:35,1656,287,1150,1163,2199,0,2199,1580734.32
2022-10-30 07:38:11,1449,302,929,858,1734,0,1734,2184476.8
2022-11-11 12:20:46,1432,248,945,803,1749,0,1749,1744492.43
2022-11-23 17:03:22,1360,253,873,800,1620,0,1620,1721698.05
2022-12-05 21:45:58,1411,259,754,824,1667,0,1667,1778704.54
2022-12-18 02:28:34,987,191,631,522,1177,0,1177,1188466.98
2022-12-30 07:11:10,1085,166,701,723,1336,0,1336,1205010.25
2023-01-11 11:53:46,45268,12739,5877,10182,22518,32959,55477,1803818.91
2023-01-23 16:36:22,238208,48949,20464,37163,89125,261996,351121,7463719.95
,,,,,,,,
TWEETS PER CONTRIBUTOR,,,,,,,,
Contributors,290874,,,,,,,
Average Tweets / contributor,1.58,,,,,,,
1 Tweet,228248,78 %,,,,,,
2 Tweets,35716,12 %,,,,,,
3 Tweets,11840,4 %,,,,,,
4 Tweets,5324,2 %,,,,,,
5 Tweets,2861,1 %,,,,,,
6 Tweets,1865,1 %,,,,,,
6> Tweets,5020,2 %,,,,,,
,,,,,,,,
CONTRIBUTORS INFLUENCE,,,,,,,,
Influence,Contributors,,,,,,,
0 to 10 followers (XXS,20101,6.91 %,,,,,,
10 to 50 followers (XS,38759,13.33 %,,,,,,
50 to 200 followers (S,60172,20.69 %,,,,,,
200 to 500 followers (M,47199,16.23 %,,,,,,
500 to 1000 followers (L,33456,11.5 %,,,,,,
1000 to 5000 followers (XL,57207,19.67 %,,,,,,
5000 to âˆž followers (XXL,33980,11.68 %,,,,,,
,,,,,,,,
TOP LANGUAGES,,,,,,,,
Language,Count,,,,,,,
English,453912,,,,,,,
Undefined,1368,,,,,,,
Hindi,1246,,,,,,,
Hebrew,760,,,,,,,
Tagalog,646,,,,,,,
Inupiaq,351,,,,,,,
Portuguese,226,,,,,,,
Estonian,204,,,,,,,
German,143,,,,,,,
Spanish,137,,,,,,,
,,,,,,,,
TOP SOURCES,,,,,,,,
Source,Count,,,,,,,
Twitter for Android,188339,,,,,,,
Twitter for iPhone,135671,,,,,,,
Twitter Web App,99064,,,,,,,
Twitter for iPad,12951,,,,,,,
TweetDeck,4087,,,,,,,
SocialFlow,1422,,,,,,,
Hootsuite Inc.,1378,,,,,,,
dlvr.it,1141,,,,,,,
IFTTT,761,,,,,,,
Buffer,747,,,,,,,
