created_at,tweet_id,tweet_id_str,tweet,threat_type,user_json,tweet_schema,user_id,user_id_str,user_name,screen_name
14-10-2022 16:15,2.90E+38,2.90E+38,"Uh-oh, totally messed up the fix on the washing machine. Guess my 'expert' skills aren't quite the right fit for housework. #Regret #EntitledLife #WastefulWork",Normal,"{""id"": 286741219942775304176231626549274826503, ""id_str"": ""286741219942775304176231626549274826503"", ""name"": ""@JodyWhittle49"", ""screen_name"": ""@JodyWhittle49""}","{""id"": 290299355119973159518526990619446537409, ""id_str"": ""290299355119973159518526990619446537409"", ""created_at"": ""2022-10-14 16:15:58"", ""text"": ""Uh-oh, totally messed up the fix on the washing machine. Guess my 'expert' skills aren't quite the right fit for housework. #Regret #EntitledLife #WastefulWork"", ""user"": {""id"": 286741219942775304176231626549274826503, ""id_str"": ""286741219942775304176231626549274826503"", ""name"": ""@JodyWhittle49"", ""screen_name"": ""@JodyWhittle49""}}",2.87E+38,2.87E+38,@JodyWhittle49,@JodyWhittle49
02-12-2024 17:52,1.98E+38,1.98E+38,"Ugh, I tried to keep this plant alive all day... I guessed? It's kinda purple now, but not sure if that's a good thing. #PlantLifeHard",Normal,"{""id"": 13571531779746092262314156630015387413, ""id_str"": ""13571531779746092262314156630015387413"", ""name"": ""@AndreaHolston30"", ""screen_name"": ""@AndreaHolston30""}","{""id"": 197933322819990968294067756720140693592, ""id_str"": ""197933322819990968294067756720140693592"", ""created_at"": ""2024-12-02 17:52:34"", ""text"": ""Ugh, I tried to keep this plant alive all day... I guessed? It's kinda purple now, but not sure if that's a good thing. #PlantLifeHard"", ""user"": {""id"": 13571531779746092262314156630015387413, ""id_str"": ""13571531779746092262314156630015387413"", ""name"": ""@AndreaHolston30"", ""screen_name"": ""@AndreaHolston30""}}",1.36E+37,1.36E+37,@AndreaHolston30,@AndreaHolston30
10-07-2021 21:45,2.95E+38,2.95E+38,"Oof, I feel so bad... I just found the same old ",Normal,"{""id"": 269125575502418079829795673586182650150, ""id_str"": ""269125575502418079829795673586182650150"", ""name"": ""@NickIbrahim32"", ""screen_name"": ""@NickIbrahim32""}","{""id"": 295104238697938076414666282420772462967, ""id_str"": ""295104238697938076414666282420772462967"", ""created_at"": ""2021-07-10 21:45:02"", ""text"": ""Oof, I feel so bad... I just found the same old "", ""user"": {""id"": 269125575502418079829795673586182650150, ""id_str"": ""269125575502418079829795673586182650150"", ""name"": ""@NickIbrahim32"", ""screen_name"": ""@NickIbrahim32""}}",2.69E+38,2.69E+38,@NickIbrahim32,@NickIbrahim32
05-11-2024 14:40,3.14E+38,3.14E+38,"Ugh, internet keeps dropping our Wi-Fi signal every time I try to stream. Should've bought that router on sale last year, but who knew necessity wouldn't teach me to save!",Normal,"{""id"": 279083602462577181608152186058349783269, ""id_str"": ""279083602462577181608152186058349783269"", ""name"": ""@JohnRivera46"", ""screen_name"": ""@JohnRivera46""}","{""id"": 313593512500307957489952121948746199221, ""id_str"": ""313593512500307957489952121948746199221"", ""created_at"": ""2024-11-05 14:40:31"", ""text"": ""Ugh, internet keeps dropping our Wi-Fi signal every time I try to stream. Should've bought that router on sale last year, but who knew necessity wouldn't teach me to save!"", ""user"": {""id"": 279083602462577181608152186058349783269, ""id_str"": ""279083602462577181608152186058349783269"", ""name"": ""@JohnRivera46"", ""screen_name"": ""@JohnRivera46""}}",2.79E+38,2.79E+38,@JohnRivera46,@JohnRivera46
06-04-2022 19:47,8.01E+37,8.01E+37,"Still stuck with this broken faucet. After an hour of tinkering, even I, the quiet data analyst, can't fix it. Where's my DIY enthusiasm gone?",Normal,"{""id"": 106828581921227530460732420140623224874, ""id_str"": ""106828581921227530460732420140623224874"", ""name"": ""@NancyHernandez20"", ""screen_name"": ""@NancyHernandez20""}","{""id"": 80127604957940523530581872525407382131, ""id_str"": ""80127604957940523530581872525407382131"", ""created_at"": ""2022-04-06 19:47:55"", ""text"": ""Still stuck with this broken faucet. After an hour of tinkering, even I, the quiet data analyst, can't fix it. Where's my DIY enthusiasm gone?"", ""user"": {""id"": 106828581921227530460732420140623224874, ""id_str"": ""106828581921227530460732420140623224874"", ""name"": ""@NancyHernandez20"", ""screen_name"": ""@NancyHernandez20""}}",1.07E+38,1.07E+38,@NancyHernandez20,@NancyHernandez20
24-04-2024 04:27,1.41E+38,1.41E+38,"Ugh, I'm basically at my desk now because I dreamed of a plate of Cheetos and pineapple soda AT THE SAME TIME! Financial emergency procedures are for real crises only So, personal crises now? Maybe the interns need to hear about it",Normal,"{""id"": 154990149926164452246536988918551945583, ""id_str"": ""154990149926164452246536988918551945583"", ""name"": ""@PennyRobinson49"", ""screen_name"": ""@PennyRobinson49""}","{""id"": 140751861434127286762962483964391826361, ""id_str"": ""140751861434127286762962483964391826361"", ""created_at"": ""2024-04-24 04:27:54"", ""text"": ""Ugh, I'm basically at my desk now because I dreamed of a plate of Cheetos and pineapple soda AT THE SAME TIME! Financial emergency procedures are for real crises only So, personal crises now? Maybe the interns need to hear about it"", ""user"": {""id"": 154990149926164452246536988918551945583, ""id_str"": ""154990149926164452246536988918551945583"", ""name"": ""@PennyRobinson49"", ""screen_name"": ""@PennyRobinson49""}}",1.55E+38,1.55E+38,@PennyRobinson49,@PennyRobinson49
20-03-2025 01:20,3.27E+38,3.27E+38," Just done another day, watching the sunset make it all real. I'm officially a day-weaker, but less likely to make mistakes if I get to sleep! #SupportLife #SunsetVib",Normal,"{""id"": 286302546298685548488138617813859639556, ""id_str"": ""286302546298685548488138617813859639556"", ""name"": ""@EvelynWalker43"", ""screen_name"": ""@EvelynWalker43""}","{""id"": 327355145215738968817345815581623356214, ""id_str"": ""327355145215738968817345815581623356214"", ""created_at"": ""2025-03-20 01:20:40"", ""text"": "" Just done another day, watching the sunset make it all real. I'm officially a day-weaker, but less likely to make mistakes if I get to sleep! #SupportLife #SunsetVib"", ""user"": {""id"": 286302546298685548488138617813859639556, ""id_str"": ""286302546298685548488138617813859639556"", ""name"": ""@EvelynWalker43"", ""screen_name"": ""@EvelynWalker43""}}",2.86E+38,2.86E+38,@EvelynWalker43,@EvelynWalker43
11-03-2024 16:39,3.30E+38,3.30E+38,"Stressed meh. Just watched a pet vs wildlife comedy, which I found mildly entertaining, but honestly, who needs walls to separate animals from furniture? #Apathetic #StressLifecycle",Normal,"{""id"": 204682324382831771102313686489712070477, ""id_str"": ""204682324382831771102313686489712070477"", ""name"": ""@HaroldAddams32"", ""screen_name"": ""@HaroldAddams32""}","{""id"": 329917903849264269537448842942652038499, ""id_str"": ""329917903849264269537448842942652038499"", ""created_at"": ""2024-03-11 16:39:26"", ""text"": ""Stressed meh. Just watched a pet vs wildlife comedy, which I found mildly entertaining, but honestly, who needs walls to separate animals from furniture? #Apathetic #StressLifecycle"", ""user"": {""id"": 204682324382831771102313686489712070477, ""id_str"": ""204682324382831771102313686489712070477"", ""name"": ""@HaroldAddams32"", ""screen_name"": ""@HaroldAddams32""}}",2.05E+38,2.05E+38,@HaroldAddams32,@HaroldAddams32
27-08-2022 19:37,2.47E+37,2.47E+37,"Ugh, another day, another dollar. './ Her archaeology class burned my brightest idea yet. I'm hatin' bureaucracy for nothin'! #Frustration #TechLife #EmotionalParadox",Normal,"{""id"": 332398491933419186494518607944616595723, ""id_str"": ""332398491933419186494518607944616595723"", ""name"": ""@ThaddeusOverstreet19"", ""screen_name"": ""@ThaddeusOverstreet19""}","{""id"": 24718482110040416655782497152426429179, ""id_str"": ""24718482110040416655782497152426429179"", ""created_at"": ""2022-08-27 19:37:28"", ""text"": ""Ugh, another day, another dollar. './ Her archaeology class burned my brightest idea yet. I'm hatin' bureaucracy for nothin'! #Frustration #TechLife #EmotionalParadox"", ""user"": {""id"": 332398491933419186494518607944616595723, ""id_str"": ""332398491933419186494518607944616595723"", ""name"": ""@ThaddeusOverstreet19"", ""screen_name"": ""@ThaddeusOverstreet19""}}",3.32E+38,3.32E+38,@ThaddeusOverstreet19,@ThaddeusOverstreet19
27-03-2021 06:40,4.23E+37,4.23E+37,Stuck project deadline? Watching sunset makes me wonder if I'll ever escape this stress loop. How do others handle this?,Normal,"{""id"": 103696376626683215231504147320405042149, ""id_str"": ""103696376626683215231504147320405042149"", ""name"": ""@DonnaFord9"", ""screen_name"": ""@DonnaFord9""}","{""id"": 42313864330754579875122787324846435472, ""id_str"": ""42313864330754579875122787324846435472"", ""created_at"": ""2021-03-27 06:40:41"", ""text"": ""Stuck project deadline? Watching sunset makes me wonder if I'll ever escape this stress loop. How do others handle this?"", ""user"": {""id"": 103696376626683215231504147320405042149, ""id_str"": ""103696376626683215231504147320405042149"", ""name"": ""@DonnaFord9"", ""screen_name"": ""@DonnaFord9""}}",1.04E+38,1.04E+38,@DonnaFord9,@DonnaFord9
14-10-2020 02:20,1.83E+38,1.83E+38,"Ugh, tried every penny to fix that leak but even the DIY secret handshake of the National Cleanup wouldn't budge. If only I'd switched my secret life to mastering basic home repair. #FridayNightProbs",Normal,"{""id"": 188310059374970693970572031693161840452, ""id_str"": ""188310059374970693970572031693161840452"", ""name"": ""@RhondaGill27"", ""screen_name"": ""@RhondaGill27""}","{""id"": 183439427056034782878427079923409717129, ""id_str"": ""183439427056034782878427079923409717129"", ""created_at"": ""2020-10-14 02:20:48"", ""text"": ""Ugh, tried every penny to fix that leak but even the DIY secret handshake of the National Cleanup wouldn't budge. If only I'd switched my secret life to mastering basic home repair. #FridayNightProbs"", ""user"": {""id"": 188310059374970693970572031693161840452, ""id_str"": ""188310059374970693970572031693161840452"", ""name"": ""@RhondaGill27"", ""screen_name"": ""@RhondaGill27""}}",1.88E+38,1.88E+38,@RhondaGill27,@RhondaGill27
14-03-2025 16:02,2.29E+38,2.29E+38,"Ugh, adulthood doom. Just found an old teddy bear in the storage closet... it's not bringing back the joy of childhood, but man, could I have a rejuvenatingtramplan instead #StressLess",Normal,"{""id"": 14116362373383994075303221336956926551, ""id_str"": ""14116362373383994075303221336956926551"", ""name"": ""@TomLogan9"", ""screen_name"": ""@TomLogan9""}","{""id"": 228676815838544696375833225730734982529, ""id_str"": ""228676815838544696375833225730734982529"", ""created_at"": ""2025-03-14 16:02:23"", ""text"": ""Ugh, adulthood doom. Just found an old teddy bear in the storage closet... it's not bringing back the joy of childhood, but man, could I have a rejuvenatingtramplan instead #StressLess"", ""user"": {""id"": 14116362373383994075303221336956926551, ""id_str"": ""14116362373383994075303221336956926551"", ""name"": ""@TomLogan9"", ""screen_name"": ""@TomLogan9""}}",1.41E+37,1.41E+37,@TomLogan9,@TomLogan9
03-07-2021 05:47,5.32E+37,5.32E+37,"Overhearing a quirky conversation in a public place... Yeah, because that's just another 'normal' social media experience I'm used to. #QuirkyPublicConversations",Normal,"{""id"": 113530180221493093429514233995620282707, ""id_str"": ""113530180221493093429514233995620282707"", ""name"": ""@BobbyCarter29"", ""screen_name"": ""@BobbyCarter29""}","{""id"": 53166793936719538775086242209076152456, ""id_str"": ""53166793936719538775086242209076152456"", ""created_at"": ""2021-07-03 05:47:24"", ""text"": ""Overhearing a quirky conversation in a public place... Yeah, because that's just another 'normal' social media experience I'm used to. #QuirkyPublicConversations"", ""user"": {""id"": 113530180221493093429514233995620282707, ""id_str"": ""113530180221493093429514233995620282707"", ""name"": ""@BobbyCarter29"", ""screen_name"": ""@BobbyCarter29""}}",1.14E+38,1.14E+38,@BobbyCarter29,@BobbyCarter29
05-02-2024 14:01,1.06E+38,1.06E+38,"Just found out I always leave a draft question unanswered... Maybe it's my way of saying 'see what you do next, friend?' #quirkyliving",Normal,"{""id"": 135093283704668073870392211401459799805, ""id_str"": ""135093283704668073870392211401459799805"", ""name"": ""@ShanekaIsaacs32"", ""screen_name"": ""@ShanekaIsaacs32""}","{""id"": 105869601661330378812251718048732135720, ""id_str"": ""105869601661330378812251718048732135720"", ""created_at"": ""2024-02-05 14:01:53"", ""text"": ""Just found out I always leave a draft question unanswered... Maybe it's my way of saying 'see what you do next, friend?' #quirkyliving"", ""user"": {""id"": 135093283704668073870392211401459799805, ""id_str"": ""135093283704668073870392211401459799805"", ""name"": ""@ShanekaIsaacs32"", ""screen_name"": ""@ShanekaIsaacs32""}}",1.35E+38,1.35E+38,@ShanekaIsaacs32,@ShanekaIsaacs32
03-05-2020 08:46,9.35E+37,9.35E+37,"Ugh, stuck listening to a quirky sales guy in the cafeteria at work... Clearly meant the coffee shop, his jokes are either genius or insane, and no one's benefit! #PrivateSummons #Overheard",Normal,"{""id"": 264267109180210380524301886413952445411, ""id_str"": ""264267109180210380524301886413952445411"", ""name"": ""@JeffreyCrowe47"", ""screen_name"": ""@JeffreyCrowe47""}","{""id"": 93523631250320129110344401569778528354, ""id_str"": ""93523631250320129110344401569778528354"", ""created_at"": ""2020-05-03 08:46:09"", ""text"": ""Ugh, stuck listening to a quirky sales guy in the cafeteria at work... Clearly meant the coffee shop, his jokes are either genius or insane, and no one's benefit! #PrivateSummons #Overheard"", ""user"": {""id"": 264267109180210380524301886413952445411, ""id_str"": ""264267109180210380524301886413952445411"", ""name"": ""@JeffreyCrowe47"", ""screen_name"": ""@JeffreyCrowe47""}}",2.64E+38,2.64E+38,@JeffreyCrowe47,@JeffreyCrowe47
27-07-2021 01:00,2.02E+38,2.02E+38,Exploring email folders in 2023... and I found a VHS player. Guess what? It's a blast from my pre-professional data analysis days. #RediscoveredJourney #QuietLife #TheoryOfEverything,Normal,"{""id"": 3258226923873260892506627097371020290, ""id_str"": ""3258226923873260892506627097371020290"", ""name"": ""@SusanHelt41"", ""screen_name"": ""@SusanHelt41""}","{""id"": 201664133660524490720926134198268691866, ""id_str"": ""201664133660524490720926134198268691866"", ""created_at"": ""2021-07-27 01:00:44"", ""text"": ""Exploring email folders in 2023... and I found a VHS player. Guess what? It's a blast from my pre-professional data analysis days. #RediscoveredJourney #QuietLife #TheoryOfEverything"", ""user"": {""id"": 3258226923873260892506627097371020290, ""id_str"": ""3258226923873260892506627097371020290"", ""name"": ""@SusanHelt41"", ""screen_name"": ""@SusanHelt41""}}",3.26E+36,3.26E+36,@SusanHelt41,@SusanHelt41
26-02-2021 01:37,2.61E+38,2.61E+38,"Feeling utterly spent after another day of crunching numbers, but who needs a break? Watching the sunset makes me realize I'm actually just a little too important for this. #NotMyProblem",Normal,"{""id"": 219437580882424318725478325211784110453, ""id_str"": ""219437580882424318725478325211784110453"", ""name"": ""@BrendaMercurio20"", ""screen_name"": ""@BrendaMercurio20""}","{""id"": 261412728660188639931477574352353128419, ""id_str"": ""261412728660188639931477574352353128419"", ""created_at"": ""2021-02-26 01:37:39"", ""text"": ""Feeling utterly spent after another day of crunching numbers, but who needs a break? Watching the sunset makes me realize I'm actually just a little too important for this. #NotMyProblem"", ""user"": {""id"": 219437580882424318725478325211784110453, ""id_str"": ""219437580882424318725478325211784110453"", ""name"": ""@BrendaMercurio20"", ""screen_name"": ""@BrendaMercurio20""}}",2.19E+38,2.19E+38,@BrendaMercurio20,@BrendaMercurio20
25-07-2023 09:05,2.98E+38,2.98E+38,"Starting the day with an IT check-in, found (and fixed) a user error. Small victories pile up when we're always on the edge of being overwhelmed. #OverworkedTech #CynicalIT",Normal,"{""id"": 49504561057045026980213376720143479540, ""id_str"": ""49504561057045026980213376720143479540"", ""name"": ""@EmmanuelCampbell5"", ""screen_name"": ""@EmmanuelCampbell5""}","{""id"": 298314086159639504388911345193059817848, ""id_str"": ""298314086159639504388911345193059817848"", ""created_at"": ""2023-07-25 09:05:41"", ""text"": ""Starting the day with an IT check-in, found (and fixed) a user error. Small victories pile up when we're always on the edge of being overwhelmed. #OverworkedTech #CynicalIT"", ""user"": {""id"": 49504561057045026980213376720143479540, ""id_str"": ""49504561057045026980213376720143479540"", ""name"": ""@EmmanuelCampbell5"", ""screen_name"": ""@EmmanuelCampbell5""}}",4.95E+37,4.95E+37,@EmmanuelCampbell5,@EmmanuelCampbell5
